year,mediation ID,negotiation ID,conflict locale,conflict sub-locale,locale Gleditsch ID,third_party,third-party Gleditsch ID,location of neogitations,negotiation location Gleditsch ID,negotiation type,leading actor,leading actor 2,leading actor 3,good offices,mediation,hosting talks,negotiating and drafting,manipulating,humanitarian,witness/party to agreement,other,agreement,peace agreement,ceasfire agreement,agreement name,notes_1,source_1,note_2,source_2,note_3,source_3,note_4,source_4,note_5,source_5,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1993,358,,Sudan,,SUD,IGAD,,Ethiopia,ETH,R,IGAD,,,0,1,0,1,0,0,0,0,0,0,0,,"""The Sudanese peace talks in Abuja broke down and IGAD was invited to mediate. IGAD established a Standing Committee on Peace to facilitate neogitations and proposed a Declaration of Principles, which included partition as possible resolution to the conflict, which was accepted (though reluctantly) by the SPLM and rejected by the Khartoum government in 1994.""","https://constitutionnet.org/sites/default/files/Young%20Igad_in_Sudan_Peace_Process.pdf
",,https://www.peaceagreements.org/viewmasterdocument/918,,,,,,,,,,,,,,,
1994,8,,Sudan,,SUD,IGAD,,Kenya,KEN,R,IGAD,,,1,0,1,0,0,0,0,0,0,0,0,,"""IGAD hosted and sponsored several rounds of peace talks throughout 1994. Kenyan president Daniel arap Moi hosted the talks as chairman of IGAD. Preliminary shuttle peace talks were held in Nairobi in the beginning of January in order to determine the issues that would be put on the agenda for the formal talks.""",APP,,https://constitutionnet.org/sites/default/files/Young%20Igad_in_Sudan_Peace_Process.pdf,,https://onlinelibrary.wiley.com/doi/full/10.1111/nana.12648,,https://www.peaceagreements.org/view/918/The%20IGAD%20Declaration%20of%20Principles,,https://www.peaceagreements.org/viewmasterdocument/918,,,,,,,,,
1994,8,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,R,IGAD,,,1,0,1,0,0,0,0,0,0,0,0,,"""IGAD hosted and sponsored several rounds of peace talks throughout 1994. Kenyan president Daniel arap Moi hosted the talks as chairman of IGAD. Preliminary shuttle peace talks were held in Nairobi in the beginning of January in order to determine the issues that would be put on the agenda for the formal talks.""",APP,,,,,,,,,,,,,,,,,
1994,8,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,R,IGAD,,,1,0,0,0,0,0,0,0,0,0,0,,"""IGAD hosted and sponsored several rounds of peace talks throughout 1994. Kenyan president Daniel arap Moi hosted the talks as chairman of IGAD. Preliminary shuttle peace talks were held in Nairobi in the beginning of January in order to determine the issues that would be put on the agenda for the formal talks.""",APP,,,,,,,,,,,,,,,,,
1994,8,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,R,IGAD,,,1,0,0,0,0,0,0,0,0,0,0,,"""IGAD hosted and sponsored several rounds of peace talks throughout 1994. Kenyan president Daniel arap Moi hosted the talks as chairman of IGAD. Preliminary shuttle peace talks were held in Nairobi in the beginning of January in order to determine the issues that would be put on the agenda for the formal talks.""",APP,,,,,,,,,,,,,,,,,
1994,8,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,R,IGAD,,,1,0,0,0,0,0,0,0,0,0,0,,"""IGAD hosted and sponsored several rounds of peace talks throughout 1994. Kenyan president Daniel arap Moi hosted the talks as chairman of IGAD. Preliminary shuttle peace talks were held in Nairobi in the beginning of January in order to determine the issues that would be put on the agenda for the formal talks.""",APP,,,,,,,,,,,,,,,,,
1994,9,,Sudan,,SUD,IGAD,,Kenya,KEN,R,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,"Although the parties had not reached a consensus over an agenda for the negotiations, a first round of official negotiations was held in Nairobi between 8 and 23 March 1994.  ",APP,,,,,,,,,,,,,,,,,
1994,9,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,R,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,"Although the parties had not reached a consensus over an agenda for the negotiations, a first round of official negotiations was held in Nairobi between 8 and 23 March 1994.  ",APP,,,,,,,,,,,,,,,,,
1994,9,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"Although the parties had not reached a consensus over an agenda for the negotiations, a first round of official negotiations was held in Nairobi between 8 and 23 March 1994.  ",APP,,,,,,,,,,,,,,,,,
1994,9,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"Although the parties had not reached a consensus over an agenda for the negotiations, a first round of official negotiations was held in Nairobi between 8 and 23 March 1994.  ",APP,,,,,,,,,,,,,,,,,
1994,9,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"Although the parties had not reached a consensus over an agenda for the negotiations, a first round of official negotiations was held in Nairobi between 8 and 23 March 1994.  ",APP,,,,,,,,,,,,,,,,,
1994,10,,Sudan,,SUD,IGAD,,Kenya,KEN,R,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,Another round of negotiations was held in Nairobi were held between 18 and 20 May 1994. ,APP,,,,,,,,,,,,,,,,,
1994,10,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,R,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,Another round of negotiations was held in Nairobi were held between 18 and 20 May 1994. ,APP,,,,,,,,,,,,,,,,,
1994,10,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,Another round of negotiations was held in Nairobi were held between 18 and 20 May 1994. ,APP,,,,,,,,,,,,,,,,,
1994,10,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,Another round of negotiations was held in Nairobi were held between 18 and 20 May 1994. ,APP,,,,,,,,,,,,,,,,,
1994,10,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,Another round of negotiations was held in Nairobi were held between 18 and 20 May 1994. ,APP,,,,,,,,,,,,,,,,,
1994,11,,Sudan,,SUD,IGAD,,Kenya,KEN,R,IGAD,,,0,0,1,1,0,0,0,0,1,0,0,IGAD Declaration of Principles,"Since the conflict parties could not agree on an official agenda for negotiations, the IGAD mediation team drafted a Declaration of Principles (DoP) which the conflict parties were meant to review in preparation for a third round of negotiations in July 1994. The compromise envisioned in the DoP was that while the south would have the right to self-determination because of the high level of polarization in Sudan, priority should be given to unity to be created through a national consensus. ",APP,,,,,,,,,,,,,,,,,
1994,11,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,R,IGAD,,,0,0,1,1,0,0,0,0,1,0,0,IGAD Declaration of Principles,"Since the conflict parties could not agree on an official agenda for negotiations, the IGAD mediation team drafted a Declaration of Principles (DoP) which the conflict parties were meant to review in preparation for a third round of negotiations in July 1994. The compromise envisioned in the DoP was that while the south would have the right to self-determination because of the high level of polarization in Sudan, priority should be given to unity to be created through a national consensus. ",APP,,,,,,,,,,,,,,,,,
1994,11,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,R,IGAD,,,0,0,0,1,1,0,0,0,1,0,0,IGAD Declaration of Principles,"Since the conflict parties could not agree on an official agenda for negotiations, the IGAD mediation team drafted a Declaration of Principles (DoP) which the conflict parties were meant to review in preparation for a third round of negotiations in July 1994. The compromise envisioned in the DoP was that while the south would have the right to self-determination because of the high level of polarization in Sudan, priority should be given to unity to be created through a national consensus. ",APP,Ethiopia was the main proponent of the Declaration of Principles and it attempted to apply pressure with carrots and sticks on the Khartoum government and the SPLM.,https://onlinelibrary.wiley.com/doi/full/10.1111/nana.12648,,,,,,,,,,,,,,,
1994,11,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,R,IGAD,,,0,0,0,1,0,0,0,0,1,0,0,IGAD Declaration of Principles,"Since the conflict parties could not agree on an official agenda for negotiations, the IGAD mediation team drafted a Declaration of Principles (DoP) which the conflict parties were meant to review in preparation for a third round of negotiations in July 1994. The compromise envisioned in the DoP was that while the south would have the right to self-determination because of the high level of polarization in Sudan, priority should be given to unity to be created through a national consensus. ",APP,,,,,,,,,,,,,,,,,
1994,11,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,R,IGAD,,,0,0,0,1,0,0,0,0,1,0,0,IGAD Declaration of Principles,"Since the conflict parties could not agree on an official agenda for negotiations, the IGAD mediation team drafted a Declaration of Principles (DoP) which the conflict parties were meant to review in preparation for a third round of negotiations in July 1994. The compromise envisioned in the DoP was that while the south would have the right to self-determination because of the high level of polarization in Sudan, priority should be given to unity to be created through a national consensus. ",APP,,,,,,,,,,,,,,,,,
1994,12,,Sudan,,SUD,IGAD,,Kenya,KEN,R,IGAD,,,0,1,1,0,0,0,0,0,1,0,1,Ceasefire,"Another round of negotiations was subsequently held in Nairobi between 18 and 28 July 1994. While the SPLM/A accepted the DoP, the government side rejected the document. Nevertheless, on 23 July 1994, the Government of Sudan declared a unilateral ceasefire. This ceasefire was initially rejected by SPLM/A, but was eventually accepted. The ceasefire was later broken, probably by both sides. ",APP,,,,,,,,,,,,,,,,,
1994,12,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,R,IGAD,,,0,1,1,0,0,0,0,0,1,0,1,Ceasefire,"Another round of negotiations was subsequently held in Nairobi between 18 and 28 July 1994. While the SPLM/A accepted the DoP, the government side rejected the document. Nevertheless, on 23 July 1994, the Government of Sudan declared a unilateral ceasefire. This ceasefire was initially rejected by SPLM/A, but was eventually accepted. The ceasefire was later broken, probably by both sides. ",APP,,,,,,,,,,,,,,,,,
1994,12,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,1,0,1,Ceasefire,"Another round of negotiations was subsequently held in Nairobi between 18 and 28 July 1994. While the SPLM/A accepted the DoP, the government side rejected the document. Nevertheless, on 23 July 1994, the Government of Sudan declared a unilateral ceasefire. This ceasefire was initially rejected by SPLM/A, but was eventually accepted. The ceasefire was later broken, probably by both sides. ",APP,,,,,,,,,,,,,,,,,
1994,12,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,1,0,1,Ceasefire,"Another round of negotiations was subsequently held in Nairobi between 18 and 28 July 1994. While the SPLM/A accepted the DoP, the government side rejected the document. Nevertheless, on 23 July 1994, the Government of Sudan declared a unilateral ceasefire. This ceasefire was initially rejected by SPLM/A, but was eventually accepted. The ceasefire was later broken, probably by both sides. ",APP,,,,,,,,,,,,,,,,,
1994,12,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,1,0,1,Ceasefire,"Another round of negotiations was subsequently held in Nairobi between 18 and 28 July 1994. While the SPLM/A accepted the DoP, the government side rejected the document. Nevertheless, on 23 July 1994, the Government of Sudan declared a unilateral ceasefire. This ceasefire was initially rejected by SPLM/A, but was eventually accepted. The ceasefire was later broken, probably by both sides. ",APP,,,,,,,,,,,,,,,,,
1994,13,,Sudan,,SUD,IGAD,,Kenya,KEN,R,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,"The parties met again for IGAD-sponsored negotiations in Nairobi between 5 and 7 September 1994, but the talks again ended in a deadlock. Earlier in the year, between May and July, various Western diplomatic initiatives were coordinated in a new grouping, named the Friends of IGAD. The goal of this contact group was to increase the leverage of the IGAD mediation efforts.",APP,,,,,,,,,,,,,,,,,
1994,13,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,R,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,"The parties met again for IGAD-sponsored negotiations in Nairobi between 5 and 7 September 1994, but the talks again ended in a deadlock. Earlier in the year, between May and July, various Western diplomatic initiatives were coordinated in a new grouping, named the Friends of IGAD. The goal of this contact group was to increase the leverage of the IGAD mediation efforts.",APP,,,,,,,,,,,,,,,,,
1994,13,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"The parties met again for IGAD-sponsored negotiations in Nairobi between 5 and 7 September 1994, but the talks again ended in a deadlock. Earlier in the year, between May and July, various Western diplomatic initiatives were coordinated in a new grouping, named the Friends of IGAD. The goal of this contact group was to increase the leverage of the IGAD mediation efforts.",APP,,,,,,,,,,,,,,,,,
1994,13,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"The parties met again for IGAD-sponsored negotiations in Nairobi between 5 and 7 September 1994, but the talks again ended in a deadlock. Earlier in the year, between May and July, various Western diplomatic initiatives were coordinated in a new grouping, named the Friends of IGAD. The goal of this contact group was to increase the leverage of the IGAD mediation efforts.",APP,,,,,,,,,,,,,,,,,
1994,13,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"The parties met again for IGAD-sponsored negotiations in Nairobi between 5 and 7 September 1994, but the talks again ended in a deadlock. Earlier in the year, between May and July, various Western diplomatic initiatives were coordinated in a new grouping, named the Friends of IGAD. The goal of this contact group was to increase the leverage of the IGAD mediation efforts.",APP,,,,,,,,,,,,,,,,,
1995,14,,Sudan,,SUD,Carter Center,,Sudan,SUD,N,Carter Center,,,1,0,0,0,0,1,0,0,0,0,0,,"In 1995, former US president Jimmy Carter managed to conduct shuttle mediation between the conflict parties, which led to a two-month ceasefire that was unilaterally announced by the Government of Sudan on 28 March 1995. The two-month ceasefire would help a health campaign organized by the Carter Center against Guinea worm infestation and river blindness in the south.  In addition to the ceasefire, the rebels were offered amnesty if they laid down their weapons. The SPLM/A accepted the ceasefire two days later on 1 June 1995, although some elements within the organisation rejected the ceasefire. The SPLM/A also called for international monitoring of the ceasefire. According to Carter, the ceasefire was holding with a few minor exceptions. Yet, the conflict parties accused each other of violating the ceasefire. In August 1995, the conflict parties agreed to resume peace talks, but not to extend the ceasefire. Yet, the talks never took place.",APP,,,,,,,,,,,,,,,,,
1995,359,,Sudan,,SUD,Eritrea,ERI,Eritrea,ERI,S,Eritrea,,,0,0,1,1,0,0,1,1,1,0,0,Asmara Declaration,"Eritrea’s Isaias Afwerki believed the Khartoum government would soon fall and expelled the Sudanese ambassador from Sudan’s embassy in Eritrea and handed it over to the National Democratic Alliance (NDA) of oppositionists, focussing on diplomatic connections with the NDA, which culminated with the Asmara Declaration of 1995. (Other: shift in diplomatic approach to engage with the opposition, in North Sudan, rather than Sudanese government in Khartoum).",https://onlinelibrary.wiley.com/doi/full/10.1111/nana.12648,,,,,,,,,,,,,,,,,
1996,15,,Sudan,,SUD,Fashoda Relief,,,,N,UN,,,0,0,0,1,0,1,1,1,1,0,0,SPLM-United/Operation Lifeline Sudan Agreement on Ground Rules,The Fashoda Relief and Rehabilitation Association (an SPLM-affiliated humanitarian organisation) worked alongside the UNICEF-led Operation Lifeline to negotiate and agree on standards of conduct vis-à-vis humanitarian operations in SPLM-controlled areas,"https://www.peaceagreements.org/view/542/SPLM-United%20/%20Operation%20Lifeline%20Sudan%20Agreement%20on%20Ground%20Rules
     ",,https://reliefweb.int/report/sudan/splm-united-operation-lifeline-sudan-agreement-ground-rules,,https://www.peaceagreements.org/viewmasterdocument/542    ,,,,,,,,,,,,,
1996,15,,Sudan,,SUD,UN,,,,N,UN,,,0,0,0,1,0,1,1,1,1,0,0,SPLM-United/Operation Lifeline Sudan Agreement on Ground Rules,The UNICEF-led Operation Lifeline worked alongside the Fashoda Relief and Rehabilitation Association (an SPLM-affiliated humanitarian organisation) to negotiate and agree on standards of conduct vis-à-vis humanitarian operations in SPLM-controlled areas,"
https://www.peaceagreements.org/viewmasterdocument/542
",,https://www.peaceagreements.org/view/542/SPLM-United%20/%20Operation%20Lifeline%20Sudan%20Agreement%20on%20Ground%20Rules,,https://reliefweb.int/report/sudan/splm-united-operation-lifeline-sudan-agreement-ground-rules,,,,,,,,,,,,,
1996,15,,Sudan,,SUD,NGO consortium,,,,N,UN,,,0,0,0,1,0,1,1,1,1,0,0,SPLM-United/Operation Lifeline Sudan Agreement on Ground Rules,The UNICEF-led Operation Lifeline worked alongside the Fashoda Relief and Rehabilitation Association (an SPLM-affiliated humanitarian organisation) to negotiate and agree on standards of conduct vis-à-vis humanitarian operations in SPLM-controlled areas,"
https://www.peaceagreements.org/viewmasterdocument/542
",,https://www.peaceagreements.org/view/542/SPLM-United%20/%20Operation%20Lifeline%20Sudan%20Agreement%20on%20Ground%20Rules,,https://reliefweb.int/report/sudan/splm-united-operation-lifeline-sudan-agreement-ground-rules,,,,,,,,,,,,,
1997,16,,Sudan,,SUD,IGAD,,Kenya,KEN,R,South Africa,Kenya,,0,1,0,0,0,0,0,0,0,0,0,,"South African President Nelson Mandela held separate discussions with the conflict parties and succeeded in initiating direct talks, which began on 28 August 1997 in Nairobi under the aegis of IGAD. These talks were chaired by Kenyan Foreign Minister Kalonzo Musyoka, but representatives of Eritrea, Ethiopia, and Uganda were all participating in the mediation process. ",APP,,,,,,,,,,,,,,,,,
1997,16,,Sudan,,SUD,South Africa,SAF,Kenya,KEN,R,South Africa,Kenya,,1,1,0,0,0,0,0,0,0,0,0,,"South African President Nelson Mandela held separate discussions with the conflict parties and succeeded in initiating direct talks, which began on 28 August 1997 in Nairobi under the aegis of IGAD. These talks were chaired by Kenyan Foreign Minister Kalonzo Musyoka, but representatives of Eritrea, Ethiopia, and Uganda were all participating in the mediation process. ",APP,,,,,,,,,,,,,,,,,
1997,16,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,R,South Africa,Kenya,,1,1,1,0,0,0,0,0,0,0,0,,"South African President Nelson Mandela held separate discussions with the conflict parties and succeeded in initiating direct talks, which began on 28 August 1997 in Nairobi under the aegis of IGAD. These talks were chaired by Kenyan Foreign Minister Kalonzo Musyoka, but representatives of Eritrea, Ethiopia, and Uganda were all participating in the mediation process. ",APP,,,,,,,,,,,,,,,,,
